EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-20,57,46,35,39,34,31,89,65,40,30.01,29.92,29.87,10,10,10,17,6,19,0.00,0,,103
2015-1-21,47,42,36,40,35,32,89,81,73,30.18,30.07,30.00,10,9,4,20,11,26,0.00,5,,13
2015-1-22,47,40,32,36,33,30,100,80,60,30.37,30.28,30.19,10,4,0,13,2,15,0.00,3,Fog,16
2015-1-23,50,40,30,48,33,28,92,77,62,30.38,30.19,29.76,10,7,2,16,7,20,0.14,6,Rain,68
2015-1-24,59,48,37,56,38,28,93,79,64,29.73,29.55,29.43,10,8,2,17,8,25,0.77,7,Rain,279
2015-1-25,52,43,34,32,29,26,76,58,39,29.94,29.86,29.75,10,10,10,12,7,17,0.00,0,,222
2015-1-26,46,40,34,40,36,31,86,78,70,29.86,29.66,29.55,10,10,7,17,8,26,0.01,6,Snow,1
2015-1-27,38,35,31,31,26,21,92,76,59,29.93,29.74,29.63,10,7,1,20,10,28,0.06,7,Snow,335
2015-1-28,40,35,29,19,13,5,63,43,23,30.33,30.16,29.95,10,10,10,21,11,29,0.00,1,,343
2015-1-29,42,37,32,23,16,10,59,46,32,30.35,30.23,30.01,10,10,10,20,9,25,0.00,3,,206
2015-1-30,45,37,29,34,23,5,79,56,32,30.23,30.03,29.91,10,10,9,22,10,32,0.06,6,Rain,314
2015-1-31,39,31,23,14,6,0,62,43,23,30.35,30.29,30.24,10,10,10,24,8,34,0.00,0,,314
2015-2-1,49,37,24,40,23,13,75,56,37,30.30,30.18,29.87,10,10,10,16,7,22,0.01,2,Rain,161
2015-2-2,61,46,30,56,44,14,93,68,43,30.09,29.62,29.36,10,9,2,32,17,41,0.30,7,Rain,234
2015-2-3,36,31,26,16,13,11,58,48,38,30.40,30.30,30.12,10,10,10,15,9,21,0.00,0,,9
2015-2-4,55,40,24,37,25,16,81,54,26,30.36,30.22,30.01,10,10,3,22,11,27,0.00,0,,198
2015-2-5,50,38,26,39,22,3,89,60,31,30.30,30.03,29.87,10,10,9,28,14,40,0.00,4,,313
2015-2-6,39,30,20,10,4,-5,56,38,19,30.39,30.31,30.24,10,10,10,20,9,24,0.00,0,,247
2015-2-7,57,40,23,22,15,10,65,42,18,30.25,30.13,30.01,10,10,10,23,11,27,0.00,0,,216
2015-2-8,70,57,43,36,27,22,46,34,22,30.00,29.90,29.81,10,10,10,26,16,32,0.00,0,,220
2015-2-9,60,49,38,42,38,36,92,70,47,29.84,29.82,29.80,10,6,1,23,13,30,0.27,5,Fog-Rain,48
2015-2-10,38,36,33,35,31,29,92,81,70,29.92,29.87,29.81,10,7,1,29,22,37,0.07,8,Rain,9
2015-2-11,38,33,27,29,26,24,85,75,64,30.04,29.99,29.93,10,10,9,26,12,34,T,6,Rain,15
2015-2-12,48,39,29,32,28,12,89,69,49,30.04,29.87,29.75,10,8,1,25,10,32,0.03,5,Snow,319
2015-2-13,29,24,19,11,4,1,57,45,33,30.30,30.23,30.10,10,10,10,21,9,34,0.00,0,,330
2015-2-14,49,33,16,28,13,6,68,45,21,30.17,29.85,29.49,10,10,10,33,16,52,T,2,Rain,216
2015-2-15,28,23,17,-2,-7,-13,42,30,17,30.32,30.10,29.80,10,10,10,26,14,42,0.00,1,,313
2015-2-16,24,20,15,21,7,-7,91,63,35,30.38,30.23,29.97,10,5,1,18,7,27,0.17,6,Snow,21
2015-2-17,30,27,24,27,22,16,92,75,58,29.99,29.86,29.75,10,6,1,25,13,33,0.20,6,Rain-Snow,17
2015-2-18,34,30,26,27,17,9,78,59,39,29.96,29.87,29.76,10,9,2,20,10,28,T,2,Snow,12
2015-2-19,30,22,13,4,-6,-11,44,34,23,30.24,30.08,29.91,10,10,10,17,11,26,0.00,1,,302
2015-2-20,21,15,9,1,-7,-12,53,41,28,30.57,30.45,30.26,10,10,9,15,6,23,0.00,0,,305
2015-2-21,48,29,10,39,16,-4,76,54,32,30.56,30.39,30.21,10,10,9,14,8,19,T,6,,181
2015-2-22,53,44,34,48,39,31,100,89,77,30.25,30.18,30.14,10,3,0,12,5,16,0.07,8,Fog-Rain,266
2015-2-23,35,31,26,34,25,7,100,71,42,30.37,30.26,30.19,10,6,0,25,14,33,0.02,6,Fog-Rain-Snow,17
2015-2-24,27,24,21,23,17,3,92,69,45,30.35,30.10,29.87,10,5,0,22,8,30,0.14,7,Fog-Snow,22
2015-2-25,41,31,20,24,20,16,88,63,38,30.01,29.93,29.82,10,9,1,12,5,14,0.01,2,Snow,109
2015-2-26,33,31,28,30,28,24,92,85,78,30.15,29.87,29.71,10,3,0,29,15,36,0.55,8,Fog-Snow,14
2015-2-27,36,30,23,28,23,21,100,78,56,30.60,30.38,30.17,10,8,2,18,8,23,0.00,2,,18
2015-2-28,30,28,25,20,15,12,69,60,50,30.83,30.75,30.63,10,10,9,21,12,28,0.00,0,,32
2015-3-1,34,31,28,31,27,20,92,81,69,30.71,30.46,30.25,10,7,2,15,8,19,0.06,8,Rain,9
2015-3-2,42,38,33,38,31,19,96,74,52,30.41,30.22,30.12,10,7,1,16,9,21,0.01,5,Rain,272
2015-3-3,44,37,30,41,29,19,83,70,56,30.45,30.26,30.01,10,10,4,20,9,24,0.01,6,Rain,121
2015-3-4,70,57,43,57,47,40,96,79,61,29.99,29.92,29.85,10,6,0,25,12,34,0.19,7,Fog-Rain,244
2015-3-5,47,38,28,44,33,22,100,93,85,30.35,30.09,29.89,10,3,0,25,17,34,0.61,8,Fog-Rain-Snow,8
2015-3-6,28,26,23,22,15,11,75,66,57,30.55,30.46,30.36,10,10,10,26,14,35,0.00,4,,4
2015-3-7,52,35,18,24,18,13,84,55,26,30.43,30.32,30.19,10,10,9,17,8,22,0.00,0,,217
2015-3-8,66,53,39,32,26,23,54,37,20,30.20,30.17,30.12,10,10,10,16,9,24,0.00,0,,248
2015-3-9,66,55,43,36,33,30,70,49,28,30.24,30.19,30.14,10,10,9,15,5,17,0.00,1,,217
2015-3-10,72,57,42,60,48,36,87,68,49,30.27,30.18,30.06,10,10,10,23,8,30,T,5,,198
2015-3-11,73,62,51,62,56,50,96,81,66,30.19,30.09,30.01,10,7,2,20,8,24,0.17,7,Rain,268
2015-3-12,53,46,39,50,29,20,96,63,30,30.58,30.44,30.20,10,10,6,18,9,23,0.00,0,,2
2015-3-13,51,44,36,43,32,26,80,60,39,30.59,30.51,30.37,10,10,8,14,7,17,0.09,3,Rain,60
2015-3-14,66,58,49,63,56,45,93,86,78,30.35,29.98,29.79,10,8,2,25,12,33,0.54,8,Rain,199
2015-3-15,65,55,44,54,41,32,93,62,30,30.09,29.96,29.85,10,10,7,20,9,29,0.00,1,,332
2015-3-16,73,57,40,36,33,29,70,47,24,30.14,30.00,29.83,10,10,10,16,9,22,0.00,0,,256
2015-3-17,80,63,46,45,38,28,64,45,25,29.98,29.77,29.65,10,10,10,22,9,31,0.00,1,,289
2015-3-18,52,45,38,32,18,14,58,40,22,30.22,30.15,30.00,10,10,10,29,12,38,0.00,0,,18
2015-3-19,49,44,39,36,24,17,76,53,29,30.34,30.30,30.22,10,10,10,14,6,18,0.02,3,Rain,79
2015-3-20,52,46,39,52,42,34,96,88,79,30.28,30.09,29.96,10,6,1,16,9,24,0.53,8,Rain,66
2015-3-21,60,49,38,42,37,34,85,68,51,30.12,30.06,30.00,10,10,10,15,8,20,0.00,5,,312
2015-3-22,53,49,44,44,36,31,86,65,44,30.13,30.07,29.98,10,10,10,17,8,22,0.00,0,,66
2015-3-23,44,41,37,38,32,28,76,68,60,30.23,30.18,30.09,10,10,10,24,11,31,0.00,5,,48
2015-3-24,47,42,37,33,29,23,70,60,50,30.37,30.28,30.22,10,10,10,17,11,22,0.00,3,,60
2015-3-25,65,53,40,55,41,31,78,65,51,30.37,30.29,30.16,10,10,10,17,9,23,0.00,5,,88
2015-3-26,71,67,62,64,59,56,93,80,66,30.14,29.87,29.70,10,8,2,31,16,39,0.12,5,Rain,196
2015-3-27,64,52,40,57,41,36,89,81,73,29.80,29.75,29.65,10,9,2,23,15,33,0.14,8,Rain,3
2015-3-28,43,38,33,37,21,8,82,56,30,30.25,29.98,29.77,10,10,9,21,11,29,0.00,6,,330
2015-3-29,46,38,29,23,10,5,61,40,19,30.40,30.31,30.23,10,10,10,17,8,26,0.00,0,,314
2015-3-30,59,48,36,44,34,19,86,63,39,30.23,30.01,29.88,10,10,7,22,13,27,0.11,3,Rain,219
2015-3-31,71,54,37,43,33,27,85,54,22,30.00,29.85,29.63,10,10,10,33,13,41,T,1,,217
2015-4-1,51,45,38,43,30,23,71,52,33,30.29,30.11,29.83,10,10,10,23,12,31,0.00,1,,23
2015-4-2,72,54,35,48,33,24,82,51,20,30.35,30.24,30.12,10,10,10,28,15,35,0.00,0,,198
2015-4-3,83,71,59,61,55,49,75,58,40,30.10,29.95,29.80,10,10,10,32,23,41,0.00,1,,212
2015-4-4,70,57,44,57,42,28,67,46,24,30.26,29.96,29.70,10,10,10,25,12,33,T,2,,333
2015-4-5,65,51,36,40,30,18,85,53,20,30.37,30.31,30.25,10,10,10,20,6,28,0.00,0,,178
2015-4-6,76,63,49,52,43,39,77,53,29,30.35,30.28,30.21,10,10,10,21,12,29,0.00,0,,191
2015-4-7,78,70,62,58,55,52,78,63,47,30.25,30.19,30.13,10,10,10,20,8,24,T,7,,200
2015-4-8,68,58,48,60,50,45,93,86,78,30.19,30.15,30.09,10,6,0,18,10,23,0.02,8,Fog-Rain,33
2015-4-9,49,47,45,46,44,41,93,87,80,30.27,30.19,30.14,10,6,1,18,10,24,0.12,8,Rain,49
2015-4-10,87,67,47,66,55,44,100,74,48,30.15,29.99,29.82,10,5,0,31,13,37,0.13,6,Fog-Rain,205
2015-4-11,71,62,52,63,46,37,93,63,33,30.22,30.06,29.92,10,10,10,17,6,21,T,2,,27
2015-4-12,63,57,50,41,36,31,68,49,30,30.39,30.32,30.24,10,10,10,16,8,20,0.00,0,,54
2015-4-13,76,63,49,57,48,39,83,56,29,30.38,30.30,30.22,10,10,10,18,9,23,0.00,0,,167
2015-4-14,77,66,54,68,61,53,93,83,73,30.22,30.07,29.94,10,7,1,24,9,32,1.80,7,Rain,152
2015-4-15,61,56,51,52,44,34,93,68,43,30.34,30.19,30.05,10,9,4,21,9,27,T,4,Rain,16
2015-4-16,66,60,53,52,45,35,77,64,50,30.39,30.33,30.25,10,10,10,17,8,25,0.00,1,,66
2015-4-17,77,67,57,60,57,51,84,71,58,30.24,30.08,29.96,10,10,10,14,6,22,T,5,,190
2015-4-18,70,64,58,63,59,56,97,83,68,30.03,29.99,29.95,10,10,10,12,6,17,0.00,1,,37
2015-4-19,67,61,55,62,57,53,93,80,67,30.10,30.01,29.86,10,5,0,22,8,31,0.71,4,Fog-Rain,73
2015-4-20,80,72,64,65,63,59,93,72,51,29.86,29.72,29.63,10,8,2,24,15,31,1.02,6,Rain,189
2015-4-21,72,63,54,61,46,34,78,52,26,29.86,29.76,29.65,10,10,9,24,10,31,0.01,1,Rain,250
2015-4-22,77,62,47,50,39,32,80,50,20,29.88,29.78,29.66,10,10,10,29,13,40,0.00,0,,225
2015-4-23,64,57,50,47,33,23,77,49,21,29.92,29.85,29.76,10,10,10,21,8,26,0.00,1,,353
2015-4-24,63,56,49,41,31,20,68,44,19,30.03,29.96,29.90,10,10,10,24,9,30,0.00,0,,343
2015-4-25,54,50,45,45,41,36,93,74,54,29.98,29.84,29.66,10,7,2,16,6,21,0.53,6,Rain,88
2015-4-26,58,52,45,45,42,37,93,70,47,29.74,29.67,29.61,10,9,5,18,10,23,0.04,6,Rain,34
2015-4-27,62,52,41,46,39,33,89,64,39,29.87,29.77,29.72,10,10,10,15,7,21,0.00,2,,319
2015-4-28,64,57,49,46,40,35,71,55,39,29.92,29.88,29.85,10,10,10,18,9,29,0.00,0,,354
2015-4-29,73,62,50,50,45,40,83,58,33,29.87,29.78,29.71,10,10,10,14,8,17,0.00,0,,159
2015-4-30,61,57,53,54,50,47,89,76,62,29.78,29.72,29.68,10,8,4,17,6,21,0.24,6,Rain,342
2015-5-1,57,54,51,54,48,40,93,76,59,29.95,29.83,29.73,10,8,2,26,17,36,0.50,8,Rain,26
2015-5-2,65,58,50,48,45,40,83,64,44,30.07,30.00,29.93,10,10,10,17,8,23,0.00,0,,22
2015-5-3,81,66,50,50,44,36,83,52,20,30.19,30.12,30.07,10,10,10,12,7,15,0.00,0,,219
2015-5-4,82,71,59,52,47,43,64,46,28,30.31,30.26,30.21,10,10,10,21,11,30,0.00,1,,214
2015-5-5,84,73,61,52,49,46,65,50,34,30.33,30.28,30.22,10,10,10,24,14,28,0.00,0,,212
2015-5-6,82,70,58,56,54,50,80,60,40,30.27,30.21,30.14,10,10,10,14,7,18,0.00,0,,198
2015-5-7,72,66,60,59,57,55,90,76,61,30.20,30.16,30.12,10,10,10,12,6,14,0.00,0,,56
2015-5-8,73,66,58,63,60,56,100,84,68,30.15,30.12,30.09,10,6,0,18,8,21,T,6,Fog-Rain,56
2015-5-9,77,69,61,67,64,60,100,85,69,30.23,30.19,30.15,10,5,0,15,7,20,0.00,4,Fog,62
2015-5-10,82,75,67,71,67,65,90,76,62,30.20,30.17,30.12,10,9,6,17,9,25,0.02,4,Rain,137
2015-5-11,78,74,69,71,68,65,90,82,74,30.12,30.00,29.93,10,7,2,18,9,23,0.13,6,Rain,165
2015-5-12,90,81,71,69,66,64,84,64,44,30.04,29.98,29.90,10,10,7,23,15,33,0.00,1,,227
2015-5-13,78,70,62,64,51,46,64,54,44,30.28,30.13,29.96,10,10,10,22,13,27,0.00,0,,9
2015-5-14,65,59,52,47,44,40,72,58,44,30.43,30.37,30.30,10,10,10,22,9,25,0.00,0,,31
2015-5-15,78,65,51,55,49,38,83,53,23,30.36,30.30,30.22,10,10,10,15,7,20,0.00,0,,152
2015-5-16,86,74,61,62,58,53,78,60,42,30.27,30.22,30.14,10,10,10,21,13,27,0.00,0,,209
2015-5-17,89,78,66,69,62,57,93,66,39,30.25,30.19,30.15,10,10,7,18,10,24,0.01,1,Rain,230
2015-5-18,88,80,71,69,65,63,79,63,46,30.16,30.09,30.01,10,10,10,17,7,21,0.06,2,Rain,206
2015-5-19,86,79,72,72,69,66,93,76,58,29.99,29.92,29.87,10,9,5,16,7,21,0.05,2,Rain-Thunderstorm,173
2015-5-20,73,69,64,69,57,49,93,73,52,29.99,29.93,29.86,10,10,10,23,11,32,0.00,0,,29
2015-5-21,67,62,57,59,55,49,90,73,56,29.98,29.87,29.78,10,9,2,25,12,30,0.48,8,Rain,60
2015-5-22,73,64,55,52,46,39,83,56,29,30.24,30.09,29.94,10,10,10,16,8,23,0.00,3,,313
2015-5-23,69,63,57,50,44,41,69,54,39,30.46,30.38,30.25,10,10,10,20,8,24,T,0,Rain,41
2015-5-24,81,68,55,55,52,46,87,63,38,30.43,30.37,30.30,10,10,10,15,7,21,0.00,1,,173
2015-5-25,85,73,60,59,56,51,84,59,34,30.35,30.31,30.26,10,10,10,20,11,31,0.00,0,,195
2015-5-26,87,76,64,66,61,56,87,61,35,30.32,30.26,30.19,10,10,10,20,13,31,0.00,1,,197
2015-5-27,90,81,71,68,66,64,79,63,46,30.24,30.20,30.15,10,10,10,21,14,27,0.00,1,,197
2015-5-28,87,79,70,70,66,63,84,68,51,30.23,30.19,30.16,10,9,2,18,10,21,0.26,4,Rain-Thunderstorm,160
2015-5-29,85,78,70,67,63,61,84,68,51,30.26,30.23,30.20,10,10,10,16,8,26,0.00,3,,156
2015-5-30,85,77,68,69,65,62,93,72,51,30.24,30.18,30.11,10,10,10,20,8,24,0.00,1,,162
2015-5-31,87,78,69,68,66,63,90,69,48,30.13,30.08,30.02,10,10,10,20,10,25,0.00,1,,182
2015-6-1,92,82,72,68,66,64,84,63,41,30.08,30.03,29.95,10,10,10,20,12,24,0.00,1,,191
2015-6-2,84,74,64,70,66,61,93,74,55,30.05,30.01,29.97,10,7,0,18,9,28,3.01,6,Fog-Rain-Thunderstorm,75
2015-6-3,66,65,64,64,62,61,93,90,87,30.11,30.07,30.03,10,6,1,21,14,25,0.04,8,Rain,39
2015-6-4,69,67,64,66,64,62,100,97,93,30.09,30.07,30.05,7,2,0,16,11,25,1.19,8,Fog-Rain,57
2015-6-5,69,67,64,64,63,62,93,87,81,30.06,30.00,29.92,10,7,2,16,9,22,T,8,,3
2015-6-6,77,71,64,66,63,59,87,74,60,30.06,29.93,29.88,10,10,10,21,7,27,0.00,5,,20
2015-6-7,76,69,62,63,58,49,87,67,46,30.17,30.13,30.05,10,10,9,15,7,19,0.00,1,,75
2015-6-8,88,74,60,67,62,55,90,67,43,30.12,30.00,29.88,10,10,10,24,13,30,0.00,0,,199
2015-6-9,87,79,70,70,67,63,90,68,46,29.92,29.83,29.76,10,9,2,18,10,25,0.24,4,Rain,229
2015-6-10,85,79,72,71,66,58,87,64,40,29.94,29.90,29.83,10,10,8,14,7,18,0.00,0,,84
2015-6-11,90,82,73,73,71,68,87,70,52,30.01,29.97,29.94,10,10,8,17,9,21,0.00,2,,208
2015-6-12,93,84,74,71,69,67,87,66,44,30.04,29.98,29.92,10,10,10,20,12,26,0.00,1,,217
2015-6-13,94,86,77,73,70,64,79,59,39,30.02,29.98,29.94,10,10,10,16,6,22,T,1,Rain,244
2015-6-14,90,84,77,75,71,67,91,71,51,30.06,30.03,29.99,10,9,7,14,6,20,0.01,0,Rain,81
2015-6-15,97,86,75,74,70,66,88,63,38,30.04,29.99,29.94,10,10,7,13,5,17,0.00,0,,228
2015-6-16,98,88,78,73,70,65,85,60,35,30.00,29.96,29.90,10,10,9,12,7,21,0.01,1,Rain,248
2015-6-17,83,79,74,69,66,61,82,67,51,30.12,30.08,30.05,10,10,10,17,10,21,0.00,0,,71
2015-6-18,92,82,72,75,70,68,90,70,49,30.08,30.01,29.94,10,10,2,14,7,19,0.13,1,Rain,216
2015-6-19,93,85,76,70,67,62,76,59,41,30.01,29.98,29.95,10,10,10,13,6,18,0.00,0,,46
2015-6-20,91,82,73,75,71,68,79,66,53,30.02,29.96,29.86,10,10,10,32,12,49,0.60,1,,203
2015-6-21,94,84,74,73,69,65,87,64,41,29.92,29.87,29.81,10,10,10,22,10,26,T,1,,243
2015-6-22,91,85,79,70,68,64,71,58,44,30.06,30.01,29.91,10,10,10,13,7,17,0.00,0,,46
2015-6-23,99,89,79,75,72,69,85,62,39,30.04,29.96,29.86,10,10,9,24,12,29,0.00,1,,215
2015-6-24,84,78,72,73,69,65,93,76,58,30.07,30.02,29.94,10,8,1,23,7,31,1.40,4,Rain,1
2015-6-25,88,78,68,72,66,61,84,64,43,30.10,30.03,29.92,10,10,10,22,8,34,0.76,3,,168
2015-6-26,80,75,69,71,68,64,90,81,71,30.02,29.95,29.89,10,9,1,17,8,22,0.37,6,Rain,123
2015-6-27,86,80,73,76,72,68,94,82,70,29.99,29.87,29.73,10,9,1,22,8,38,0.58,6,Rain,134
2015-6-28,82,77,72,74,65,57,87,66,45,29.90,29.77,29.68,10,10,10,20,9,25,0.00,5,,243
2015-6-29,82,74,65,67,59,52,81,61,40,30.01,29.97,29.90,10,10,10,14,7,17,0.00,0,,70
2015-6-30,92,83,73,73,67,63,93,67,41,29.97,29.91,29.83,10,10,10,24,10,30,0.00,1,,186
2015-7-1,87,80,72,67,65,61,79,61,42,29.92,29.89,29.86,10,10,9,18,10,24,0.00,0,,233
2015-7-2,88,81,73,73,70,66,87,71,55,29.91,29.87,29.82,9,7,2,29,8,35,0.14,4,Rain,257
2015-7-3,81,77,72,72,67,62,87,73,58,29.99,29.92,29.88,10,8,5,15,8,20,0.14,5,Rain,69
2015-7-4,88,81,73,72,70,67,93,72,50,30.02,29.89,29.82,10,10,7,17,9,28,0.17,5,Rain,231
2015-7-5,83,77,71,73,71,68,90,80,69,30.15,30.10,30.03,10,9,2,15,5,20,0.38,4,Rain,71
2015-7-6,89,81,73,73,71,68,93,74,55,30.14,30.10,30.05,10,10,2,20,7,24,0.23,2,Rain,186
2015-7-7,91,83,74,73,71,69,87,72,56,30.11,30.07,30.03,10,10,10,17,11,24,0.00,2,,208
2015-7-8,91,84,76,75,72,70,87,72,56,30.07,30.04,29.99,10,10,10,20,12,23,T,1,Rain,224
2015-7-9,94,86,78,72,70,68,74,59,44,30.06,30.00,29.93,10,10,10,23,10,29,0.00,0,,242
2015-7-10,87,82,76,72,69,65,82,67,51,30.05,30.01,29.95,10,10,9,14,7,20,0.01,2,Rain,338
2015-7-11,85,79,73,74,71,69,93,79,65,30.06,30.04,30.00,10,7,0,21,7,27,2.33,7,Fog-Rain,91
2015-7-12,82,78,74,70,69,66,87,75,62,30.05,30.01,29.97,10,10,10,15,8,19,T,5,,47
2015-7-13,83,78,73,71,69,65,87,73,58,29.97,29.86,29.78,10,10,4,18,6,24,0.02,4,Rain,171
2015-7-14,87,80,73,73,71,69,87,72,57,29.78,29.69,29.60,10,10,2,22,12,27,0.11,3,Rain,207
2015-7-15,87,82,77,72,67,63,79,62,45,29.85,29.69,29.59,10,10,10,16,8,20,0.00,1,,278
2015-7-16,79,76,73,72,67,64,87,78,69,30.06,29.98,29.86,10,10,8,18,10,23,0.01,7,Rain,46
2015-7-17,84,78,72,71,69,67,87,75,62,30.09,30.06,30.01,10,10,10,14,7,20,0.01,4,Rain,71
2015-7-18,92,82,71,74,71,65,94,75,56,30.04,29.98,29.91,10,8,0,31,8,42,3.08,5,Fog-Rain,190
2015-7-19,90,82,73,77,74,70,93,78,63,29.96,29.89,29.83,10,10,10,14,7,17,0.00,0,,221
2015-7-20,95,86,76,76,73,71,87,70,52,29.83,29.78,29.72,10,10,10,14,6,17,T,1,Rain,228
2015-7-21,93,86,78,75,73,71,85,69,52,29.74,29.68,29.62,10,10,9,22,8,29,0.00,0,,233
2015-7-22,84,78,71,73,66,62,79,65,51,29.95,29.84,29.72,10,10,3,18,8,26,0.00,0,,23
2015-7-23,85,78,71,71,67,62,84,66,48,29.96,29.94,29.91,10,10,10,12,5,16,0.00,4,,162
2015-7-24,85,78,71,69,62,56,79,60,40,29.97,29.94,29.91,10,10,10,15,7,19,0.00,2,,52
2015-7-25,86,77,68,64,59,55,78,57,35,30.03,29.99,29.94,10,10,10,13,5,17,0.00,0,,114
2015-7-26,89,78,67,70,63,53,78,55,31,30.04,30.01,29.98,10,10,10,15,6,22,0.00,0,,144
2015-7-27,88,82,75,71,69,66,82,67,51,30.05,30.00,29.97,10,10,10,14,7,19,0.00,1,,186
2015-7-28,89,82,74,72,69,63,87,66,45,30.03,30.00,29.97,10,10,10,14,6,17,T,4,,183
2015-7-29,91,83,74,72,70,67,87,66,44,30.04,30.00,29.95,10,10,10,15,8,20,0.00,1,,177
2015-7-30,96,85,74,75,72,69,87,68,49,29.99,29.92,29.85,10,10,9,14,6,18,0.00,1,,175
2015-7-31,87,81,74,74,68,61,94,68,42,29.94,29.90,29.86,10,8,2,17,8,22,1.30,4,Rain,27
2015-8-1,91,81,71,70,66,60,79,60,40,29.92,29.89,29.84,10,10,10,12,7,14,0.00,1,,192
2015-8-2,86,80,74,74,72,70,94,80,65,29.94,29.91,29.87,10,10,7,14,6,17,0.00,1,,22
2015-8-3,92,83,73,73,71,67,94,69,44,29.93,29.90,29.86,10,10,8,20,10,25,0.00,1,,205
2015-8-4,93,85,76,74,72,68,87,67,46,29.99,29.95,29.90,10,10,9,25,15,29,0.00,2,,212
2015-8-5,93,85,77,74,69,62,85,62,38,29.97,29.94,29.91,10,10,10,15,6,19,0.00,0,,250
2015-8-6,85,79,73,75,71,65,87,73,58,29.94,29.90,29.82,10,9,1,18,6,24,0.29,4,Rain,82
2015-8-7,81,77,73,73,72,70,93,84,74,29.82,29.80,29.78,10,10,6,22,8,27,0.05,7,Rain,46
2015-8-8,79,76,73,72,69,62,87,75,62,29.95,29.85,29.79,10,9,2,28,17,35,0.13,7,Rain,40
2015-8-9,81,76,71,64,61,57,79,62,45,30.04,29.99,29.94,10,10,10,17,8,21,0.00,0,,44
2015-8-10,83,76,69,67,65,63,84,70,55,30.04,30.00,29.95,10,10,10,13,6,17,0.00,3,,136
2015-8-11,85,79,72,75,70,66,87,76,65,29.93,29.87,29.80,10,9,2,20,11,25,0.29,6,Rain,218
2015-8-12,83,77,70,67,66,64,90,73,55,29.99,29.92,29.84,10,10,10,15,6,20,0.00,0,,340
2015-8-13,83,76,68,67,65,63,84,70,55,30.14,30.05,29.99,10,10,10,13,5,17,0.00,1,,35
2015-8-14,84,77,69,68,61,49,90,61,31,30.20,30.16,30.13,10,10,10,12,4,15,0.00,0,,43
2015-8-15,85,75,64,66,59,49,87,58,29,30.19,30.15,30.11,10,10,10,13,4,15,0.00,0,,88
